text,edit_history_tweet_ids,lang,id,created_at,query
"@catturd2 BREAKING NEWS: Kentucky politicians in the same political party take pictures together.  By using your logic, Donald Trump loves him some Epstein you clown. https://t.co/n8FHNNlbv1",['1990086667378594116'],en,1990086667378594116,2025-11-16T15:56:50.000Z,
"@Military_Mantra 7 brand new fighter jets were shot down. 
Donald Trump, Indian Parliament debate 
23 military sites were targeted by Pakistan. We don't want escalation with Pakistan. 
Col Sophia Indian Army
How many jets were down is not important. Why they were down in important.
CDS Chohan 🖕",['1990086636491735074'],en,1990086636491735074,2025-11-16T15:56:42.000Z,
@simonateba That’s President Donald J Trump to you Simple Simp Simon,['1990086627838841287'],en,1990086627838841287,2025-11-16T15:56:40.000Z,
@Resisting313392 Over 50 women came with specific stories pointing directly at Epstein and Donald J Trump DJ T is as always was guilty as hell and has been for years womanizing salting. I’ve been win by women by their general Julia committing adultery fornicating this is not complicated math. https://t.co/8zkycgLzS7,['1990086590085931167'],en,1990086590085931167,2025-11-16T15:56:31.000Z,
@GazetteNGR These morons really took Donald Trump serious 😅😅😅 person wey welcome and dine with Jolani ISIS leader at the white house. Your propaganda and agenda will never work. Islam is the tsunami and fast growing religion even in the USA. NO amount of propaganda can stop it!!,['1990086584415166628'],en,1990086584415166628,2025-11-16T15:56:30.000Z,
@donwinslow It’s common knowledge that the 2020 election was stolen from Donald Trump,['1990086575959515421'],en,1990086575959515421,2025-11-16T15:56:28.000Z,
"@WarlordDilley God bless America God bless Donald J Trump, and all his cabinet members. The truth will set you free avoid all Democrats all they know how to do is lie, cheat, and steal from us the American people.  And we are done with that.",['1990086567130476718'],en,1990086567130476718,2025-11-16T15:56:26.000Z,
"BBC chief rallies 'incredible' troops in face of 'attacks' over Donald Trump Panorama scandal - and urges staff to 'check in' with colleagues working on news 
https://t.co/4l08ytRpmp",['1990086564483850314'],en,1990086564483850314,2025-11-16T15:56:25.000Z,
@NickAdamsinUSA @NickAdamsinUSA  This is crap about groceries being more affordable than under Joe Biden.  The CPI food-at-home index was up 2.7% in the 12 months ended September with Donald Trump as President.,['1990086560708968952'],en,1990086560708968952,2025-11-16T15:56:24.000Z,
@RecondosGhost @AVGirl4Life The real Donald Trump,['1990086555554238781'],en,1990086555554238781,2025-11-16T15:56:23.000Z,
"@ConceptualJames Donald Trump destroyed MAGA, by behaving like a narcissistic child.",['1990090826471350500'],en,1990090826471350500,2025-11-16T16:13:21.000Z,donald trump lang:en -is:retweet
Don’t Be Fooled: Marjorie Taylor Greene Still Wants to Reconcile With Trump https://t.co/KSEPaysSU6,['1990090819047490034'],en,1990090819047490034,2025-11-16T16:13:20.000Z,donald trump lang:en -is:retweet
"@Jeff418420 @JOKAQARMY1 AI Overview:

No, the prosecution and conviction of Ghislaine Maxwell did not prevent the Biden administration or the Biden Department of Justice (DOJ) from charging Donald Trump in connection with the Jeffrey Epstein case.

Democrats don't have anything on Trump.
All talk",['1990090815230693877'],en,1990090815230693877,2025-11-16T16:13:19.000Z,donald trump lang:en -is:retweet
"@nypost Donald Trump commuted the sentence of Eliyahu Weinstein, who was accused of leading a ponzi scheme for millions.

He was just  sentenced again to 37 years in prison for stealing $40 million from his clients, per CBS",['1990090799057702996'],en,1990090799057702996,2025-11-16T16:13:15.000Z,donald trump lang:en -is:retweet
"@LauraLoomer @mtgreenee @SpeakerJohnson Dude if Donald Trump called me anything I would know what to do with it

 I feel like this might possibly be a setup and he mentioned her to get her in the media 

Is that what just happened Brock is that what the President did?",['1990090784142479744'],en,1990090784142479744,2025-11-16T16:13:11.000Z,donald trump lang:en -is:retweet
"@KontackCEO @JOKAQARMY1 AI Overview:

No, the prosecution and conviction of Ghislaine Maxwell did not prevent the Biden administration or the Biden Department of Justice (DOJ) from charging Donald Trump in connection with the Jeffrey Epstein case.

Democrats don't have anything on Trump.
All talk",['1990090776227844187'],en,1990090776227844187,2025-11-16T16:13:09.000Z,donald trump lang:en -is:retweet
You don’t know how it feels until it’s directed at you. I’m grateful for this response. She has truly started the complete Repudiation of Donald John Trump. Any other Republicans want to reclaim their spines? https://t.co/Mk8XfbAyeP,['1990090763896512855'],en,1990090763896512855,2025-11-16T16:13:06.000Z,donald trump lang:en -is:retweet
